pytorch-api,tensorflow-api
torch.abs,tf.abs
torch.acos,tf.acos
torch.acosh,tf.acosh
torch.add,tf.add
torch.addbmm,无对应实现
torch.addcdiv,无对应实现
torch.addcmul,无对应实现
torch.addmm,无对应实现
torch.addmv,tf.linalg.matvec
torch.addr,无对应实现
torch.allclose,tf.experimental.numpy.allclose
torch.amax,tf.reduce_max
torch.amin,tf.reduce_min
torch.angle,tf.math.angle
torch.arange,tf.range
torch.are_deterministic_algorithms_enabled,无对应实现
torch.argmax,tf.argmax
torch.argmin,tf.argmin
torch.argsort,tf.argsort
torch.as_strided,无对应实现
torch.as_tensor,tf.convert_to_tensor
torch.asin,tf.asin
torch.asinh,tf.asinh
torch.atan,tf.atan
torch.atan2,tf.atan2
torch.atanh,tf.atanh
torch.atleast_1d,tf.ensure_shape
torch.atleast_2d,tf.reshape
torch.atleast_3d,tf.reshape
torch.baddbmm,tf.linalg.matmul
torch.bernoulli,tf.random.uniform
torch.bincount,tf.math.bincount
torch.bitwise_and,tf.bitwise.bitwise_and
torch.bitwise_not,tf.bitwise.invert
torch.bitwise_or,tf.bitwise.bitwise_or
torch.bitwise_xor,tf.bitwise.bitwise_xor
torch.block_diag,tf.linalg.LinearOperatorBlockDiag
torch.bmm,tf.linalg.matmul
torch.broadcast_shapes,tf.broadcast_static_shape
torch.broadcast_tensors,tf.broadcast_to
torch.bucketize,tf.searchsorted
torch.can_cast,tf.experimental.numpy.can_cast
torch.cartesian_prod,无对应实现
torch.cat,tf.concat
torch.cdist,无对应实现
torch.ceil,tf.math.ceil
torch.chain_matmul,无对应实现
torch.cholesky_inverse,tf.linalg.cholesky_solve
torch.cholesky_solve,tf.linalg.cholesky_solve
torch.chunk,tf.split
torch.clamp,tf.clip_by_value
torch.clone,tf.identity
torch.combinations,无对应实现
torch.complex,tf.complex
torch.conj,tf.math.conj
torch.copysign,tf.math.copysign
torch.cos,tf.cos
torch.cosh,tf.cosh
torch.count_nonzero,tf.count_nonzero
torch.cross,tf.linalg.cross
torch.cummax,无对应实现
torch.cummin,无对应实现
torch.cumprod,tf.math.cumprod
torch.cumsum,tf.cumsum
torch.deg2rad,tf.experimental.numpy.deg2rad
torch.det,tf.linalg.det
torch.diag,tf.linalg.diag
torch.diag_embed,tf.linalg.tensor_diag
torch.diagflat,tf.linalg.diag
torch.diagonal,tf.linalg.diag_part
torch.digamma,tf.math.digamma
torch.dist,tf.linalg.norm
torch.div,tf.divide
torch.dot,tf.tensordot
torch.dstack,tf.experimental.numpy.dstack
torch.eig,tf.linalg.eig
torch.einsum,tf.einsum
torch.empty,tf.zeros
torch.empty_like,tf.zeros_like
torch.empty_strided,tf.TensorArray
torch.eq,tf.equal
torch.equal,tf.experimental.numpy.array_equal
torch.erf,tf.math.erf
torch.erfc,tf.math.erfc
torch.erfinv,tf.math.erfinv
torch.exp,tf.exp
torch.exp2,"tf.pow(2.0, x)"
torch.expm1,tf.math.expm1
torch.eye,tf.eye
torch.flatten,tf.reshape
torch.flip,tf.reverse
torch.fliplr,tf.reverse
torch.flipud,tf.reverse
torch.float_power,tf.pow
torch.floor,tf.floor
torch.floor_divide,tf.math.floordiv
torch.fmax,tf.math.maximum
torch.fmin,tf.math.minimum
torch.fmod,tf.math.floormod
torch.frac,tf.math.fractional_part
torch.full,tf.fill
torch.full_like,tf.fill
torch.gather,tf.gather_nd
torch.gcd,tf.math.gcd
torch.ge,tf.greater_equal
torch.ger,tf.linalg.outer_product
torch.get_rng_state,无对应实现
torch.gt,tf.greater
torch.heaviside,无对应实现
torch.histc,tf.histogram_fixed_width
torch.hstack,tf.concat
torch.hypot,tf.math.hypot
torch.i0,tf.math.bessel_i0
torch.igamma,tf.math.igamma
torch.imag,tf.math.imag
torch.index_select,tf.gather
torch.inner,tf.tensordot
torch.inverse,tf.linalg.inv
torch.is_nonzero,无对应实现
torch.is_tensor,tf.is_tensor
torch.isclose,tf.experimental.numpy.isclose
torch.isfinite,tf.math.is_finite
torch.isinf,tf.math.is_inf
torch.isnan,tf.math.is_nan
torch.isneginf,无对应实现
torch.isposinf,无对应实现
torch.isreal,tf.math.is_real
torch.kron,tf.linalg.kronecker
torch.kthvalue,无对应实现
torch.lcm,tf.math.lcm
torch.le,tf.less_equal
torch.lerp,tf.add + tf.multiply
torch.lgamma,tf.math.lgamma
torch.linspace,tf.linspace
torch.log,tf.math.log
torch.log10,tf.math.log10
torch.log1p,tf.math.log1p
torch.log2,tf.math.log
torch.logaddexp,tf.math.logaddexp
torch.logaddexp2,无对应实现
torch.logcumsumexp,tf.math.cumulative_logsumexp
torch.logdet,tf.linalg.logdet
torch.logical_and,tf.logical_and
torch.logical_not,tf.logical_not
torch.logical_or,tf.logical_or
torch.logical_xor,tf.math.logical_xor
torch.logit,无对应实现
torch.logspace,tf.linspace
torch.logsumexp,tf.math.reduce_logsumexp
torch.lstsq,tf.linalg.lstsq
torch.lt,tf.less
torch.lu,tf.linalg.lu
torch.lu_solve,tf.linalg.lu_solve
torch.masked_select,tf.boolean_mask
torch.matmul,tf.matmul
torch.matrix_exp,tf.linalg.expm
torch.matrix_power,tf.linalg.matrix_power
torch.matrix_rank,tf.linalg.matrix_rank
torch.max,tf.reduce_max
torch.maximum,tf.maximum
torch.mean,tf.reduce_mean
torch.median,tf.math.reduce_median
torch.min,tf.reduce_min
torch.minimum,tf.minimum
torch.mm,tf.matmul
torch.mode,无对应实现
torch.movedim,tf.transpose
torch.msort,tf.sort
torch.mul,tf.multiply
torch.multinomial,tf.random.categorical
torch.mv,tf.linalg.matvec
torch.mvlgamma,无对应实现
torch.nanmedian,无对应实现
torch.nanquantile,无对应实现
torch.nansum,tf.math.reduce_sum
torch.narrow,tf.slice
torch.ne,tf.not_equal
torch.neg,tf.negative
torch.nextafter,tf.nextafter
torch.nn.AdaptiveAvgPool1d,无对应实现
torch.nn.AdaptiveAvgPool2d,tf.keras.layers.GlobalAveragePooling2D
torch.nn.AdaptiveAvgPool3d,tf.keras.layers.GlobalAveragePooling3D
torch.nn.AdaptiveMaxPool1d,无对应实现
torch.nn.AdaptiveMaxPool2d,无对应实现
torch.nn.AdaptiveMaxPool3d,无对应实现
torch.nn.AlphaDropout,tf.keras.layers.AlphaDropout
torch.nn.AvgPool1d,tf.keras.layers.AveragePooling1D
torch.nn.AvgPool2d,tf.keras.layers.AveragePooling2D
torch.nn.AvgPool3d,tf.keras.layers.AveragePooling3D
torch.nn.BCELoss,tf.keras.losses.BinaryCrossentropy
torch.nn.BCEWithLogitsLoss,tf.keras.losses.BinaryCrossentropy
torch.nn.BatchNorm1d,tf.keras.layers.BatchNormalization
torch.nn.BatchNorm2d,tf.keras.layers.BatchNormalization
torch.nn.BatchNorm3d,tf.keras.layers.BatchNormalization
torch.nn.Bilinear,无对应实现
torch.nn.CELU,无对应实现
torch.nn.CTCLoss,tf.keras.losses.CTCloss
torch.nn.ConstantPad1d,无对应实现
torch.nn.ConstantPad2d,tf.keras.layers.ZeroPadding2D
torch.nn.ConstantPad3d,无对应实现
torch.nn.Conv1d,tf.keras.layers.Conv1D
torch.nn.Conv2d,tf.keras.layers.Conv2D
torch.nn.Conv3d,tf.keras.layers.Conv3D
torch.nn.ConvTranspose2d,tf.keras.layers.Conv2DTranspose
torch.nn.ConvTranspose3d,tf.keras.layers.Conv3DTranspose
torch.nn.CosineSimilarity,tf.keras.metrics.CosineSimilarity
torch.nn.CrossEntropyLoss,tf.keras.losses.SparseCategoricalCrossentropy
torch.nn.Dropout,tf.keras.layers.Dropout
torch.nn.Dropout2d,tf.keras.layers.SpatialDropout2D
torch.nn.Dropout3d,tf.keras.layers.SpatialDropout3D
torch.nn.ELU,tf.keras.layers.ELU
torch.nn.Embedding,tf.keras.layers.Embedding
torch.nn.Flatten,tf.keras.layers.Flatten
torch.nn.Fold,无对应实现
torch.nn.FractionalMaxPool2d,无对应实现
torch.nn.GELU,tf.keras.activations.gelu
torch.nn.GRU,tf.keras.layers.GRU
torch.nn.GRUCell,tf.keras.layers.GRUCell
torch.nn.GroupNorm,tf.keras.layers.GroupNormalization
torch.nn.Hardshrink,无对应实现
torch.nn.Hardsigmoid,tf.keras.layers.HardSigmoid
torch.nn.Hardswish,tf.keras.layers.Activation('hard_swish')
torch.nn.Hardtanh,tf.keras.layers.ReLU
torch.nn.Identity,tf.keras.layers.Activation('linear')
torch.nn.InstanceNorm1d,tf.keras.layers.LayerNormalization
torch.nn.InstanceNorm2d,tf.keras.layers.InstanceNormalization
torch.nn.InstanceNorm3d,tf.keras.layers.BatchNormalization
torch.nn.L1Loss,tf.keras.losses.MeanAbsoluteError
torch.nn.LPPool1d,无对应实现
torch.nn.LPPool2d,无对应实现
torch.nn.LSTM,tf.keras.layers.LSTM
torch.nn.LSTMCell,tf.keras.layers.LSTMCell
torch.nn.LayerNorm,tf.keras.layers.LayerNormalization
torch.nn.LeakyReLU,tf.keras.layers.LeakyReLU
torch.nn.Linear,tf.keras.layers.Dense
torch.nn.LocalResponseNorm,tf.keras.layers.Lambda
torch.nn.LogSigmoid,tf.keras.activations.log_sigmoid
torch.nn.LogSoftmax,tf.keras.layers.Activation('log_softmax')
torch.nn.MSELoss,tf.keras.losses.MeanSquaredError
torch.nn.MarginRankingLoss,无对应实现
torch.nn.MaxPool1d,tf.keras.layers.MaxPooling1D
torch.nn.MaxPool2d,tf.keras.layers.MaxPooling2D
torch.nn.MaxPool3d,tf.keras.layers.MaxPooling3D
torch.nn.MaxUnpool1d,无对应实现
torch.nn.MaxUnpool2d,tf.nn.max_pool_with_argmax
torch.nn.MaxUnpool3d,无对应实现
torch.nn.MultiLabelMarginLoss,无对应实现
torch.nn.MultiLabelSoftMarginLoss,tf.keras.losses.BinaryCrossentropy
torch.nn.MultiheadAttention,tf.keras.layers.MultiHeadAttention
torch.nn.NLLLoss,tf.keras.losses.CategoricalCrossentropy
torch.nn.PReLU,tf.keras.layers.PReLU
torch.nn.PairwiseDistance,无对应实现
torch.nn.PixelShuffle,tf.nn.depth_to_space
torch.nn.PoissonNLLLoss,tf.keras.losses.Poisson
torch.nn.RNN,tf.keras.layers.SimpleRNN
torch.nn.RNNBase,tf.keras.layers.RNN
torch.nn.RNNCell,tf.keras.layers.SimpleRNNCell
torch.nn.RReLU,无对应实现
torch.nn.ReLU,tf.keras.layers.ReLU
torch.nn.ReLU6,tf.keras.layers.ReLU(max_value=6.0)
torch.nn.ReflectionPad1d,无对应实现
torch.nn.ReflectionPad2d,tf.keras.layers.ZeroPadding2D
torch.nn.ReplicationPad1d,无对应实现
torch.nn.ReplicationPad2d,tf.keras.layers.ZeroPadding2D
torch.nn.ReplicationPad3d,tf.keras.layers.ZeroPadding3D
torch.nn.SELU,tf.keras.layers.Activation('selu')
torch.nn.SiLU,tf.keras.layers.Activation('swish')
torch.nn.Sigmoid,tf.keras.layers.Activation('sigmoid')
torch.nn.Softmax,tf.keras.layers.Softmax
torch.nn.Softmax2d,tf.keras.layers.Softmax
torch.nn.Softmin,无对应实现
torch.nn.Softplus,tf.keras.activations.softplus
torch.nn.Softshrink,无对应实现
torch.nn.Softsign,tf.keras.activations.softsign
torch.nn.Tanh,tf.keras.activations.tanh
torch.nn.Tanhshrink,无对应实现
torch.nn.Threshold,tf.keras.layers.ThresholdedReLU
torch.nn.TransformerDecoderLayer,无对应实现
torch.nn.TransformerEncoderLayer,无对应实现
torch.nn.TripletMarginLoss,无对应实现
torch.nn.Upsample,tf.keras.layers.UpSampling2D
torch.nn.UpsamplingBilinear2d,tf.keras.layers.UpSampling2D
torch.nn.UpsamplingNearest2d,tf.keras.layers.UpSampling2D
torch.nn.ZeroPad2d,tf.keras.layers.ZeroPadding2D
torch.nn.functional.adaptive_avg_pool1d,tf.keras.layers.GlobalAveragePooling1D
torch.nn.functional.adaptive_avg_pool2d,无对应实现
torch.nn.functional.adaptive_avg_pool3d,无对应实现
torch.nn.functional.adaptive_max_pool1d,无对应实现
torch.nn.functional.adaptive_max_pool2d,无对应实现
torch.nn.functional.adaptive_max_pool3d,无对应实现
torch.nn.functional.alpha_dropout,无对应实现
torch.nn.functional.avg_pool1d,tf.nn.avg_pool1d
torch.nn.functional.avg_pool2d,tf.nn.avg_pool2d
torch.nn.functional.avg_pool3d,tf.nn.avg_pool3d
torch.nn.functional.batch_norm,tf.nn.batch_normalization
torch.nn.functional.bilinear,无对应实现
torch.nn.functional.binary_cross_entropy,tf.keras.losses.binary_crossentropy
torch.nn.functional.binary_cross_entropy_with_logits,tf.nn.sigmoid_cross_entropy_with_logits
torch.nn.functional.celu,tf.nn.celu
torch.nn.functional.conv1d,tf.nn.conv1d
torch.nn.functional.conv2d,tf.nn.conv2d
torch.nn.functional.conv3d,tf.nn.conv3d
torch.nn.functional.conv_transpose2d,tf.nn.conv2d_transpose
torch.nn.functional.conv_transpose3d,tf.nn.conv3d_transpose
torch.nn.functional.cosine_similarity,tf.keras.metrics.cosine_similarity
torch.nn.functional.cross_entropy,tf.keras.losses.sparse_categorical_crossentropy
torch.nn.functional.ctc_loss,tf.keras.losses.CTCLoss
torch.nn.functional.dropout,tf.nn.dropout
torch.nn.functional.dropout2d,tf.nn.dropout
torch.nn.functional.dropout3d,tf.nn.dropout
torch.nn.functional.elu,tf.nn.elu
torch.nn.functional.elu_,tf.nn.elu
torch.nn.functional.embedding,tf.nn.embedding_lookup
torch.nn.functional.embedding_bag,tf.nn.embedding_lookup_sparse
torch.nn.functional.fold,tf.signal.overlap_and_add
